overall,reviewText,summary
1,These sun glasses are great. They are extra light. Trendy. Big enough for small faces. I love them...but they broke in less than 3 weeks. One of the screws just fell off. I had them repaired at a shop but anyway...( I bought them at a Duty Free shop and I lost the bill). A pity. They looked great!,These sun glasses are great. They are extra light
1,Ordered a womens medium. Actual size about xx small,Runs SMALL
1,Shoes were too big wrong color messed the order up,Shoes were too big wrong color messed the order up
1,"I ordered this item because it looked comfortable, soft and cute, unfortunately it was not. The pants were very ill fitted.
The top was o.k, but the pants were way to long and wide definitely not a petite length. The material was rather stiff and cheap looking.
I returned it. I won't be purchasing anything else from Old Pueblo Traders.

Mrs. Sailor",What you see is not what you get.
1,"tennis shoe size 9.5. ordered size 40, length is just right size, but it is too narrow, i cant wear these more than a few hours. Walked over  wet grass and the front of these shoes faded its color, now the front looks yellowish brown, looks not good. Too late to return.",feet length size is correct  but it is narrow and fades color easy.
1,This fit horribly ! Way too small!!!!!,Way too small
1,Fake leather is terrible. Started pealing after wearing them once. Don't not recommend,junk
1,"NO STAR value!
One arm hole was stitched closed the other arm hole 100% larger than it should have been I could put my leg through it.",What the?
1,I will NEVER wear this.  It states in the description this could be worn as wig cap.  There is NO WAY this can be worn instead of a nylon wig cap.  It's basically a beanie.,I will NEVER wear this. It states in the ...
1,"Terrible shoes.
Anytime I have worn them I get a shooting pain down my side.
This happens after 30 minutes or less.
They are the most uncomfortable shoes I have ever worn.",Terrible shoes. Anytime I have worn them I get ...
1,Really wish amazon would have more 2x long t shirt option...i hate buyin t-shirts n washing them 1 time n they too small after that...just throw them away then,i hate buyin t-shirts n washing them 1 time n they ...
1,Don't like,One Star
1,"The image of the product is deceiving. The image shows a diamond steve keychain; however, I received a nether portal keychain. Very disappointed and upset.",Very disappointed and upset
1,Somewhat large and very poor quality. Not the Ecco design and quality I am used. I was sorely disappointed. Thank goodness Amazon have such a great return policy.,Disappointing
1,"Poor quality...
But I knew this because of the ratings...I would gladly pay more money for a better quality shirt.",Oh well...
1,Had to cancel do to being delivered after Christmas,One Star
1,The opening of the shoe is too big.,One Star
1,"Way to thin, way to flexible. All my rings are a size 7, yet this one is way to small, got it match an emerald ring I own....needless to say my 13 yr old just got a ring today.","Way to thin, way to flexible. All my ..."
1,"It came faded and flaked at points.  It looks like someone bought it, threw it in the washer/dryer, found out it can't stand such treatment and sent it back.  So they sold the damaged unit and I was the lucky customer.  It's not bad if you think it worth the gamble.",Came damaged
1,"Disappointed.  The logo on the shirt is way smaller than the picture, and the colors are way more muted.  DO NOT BUY THIS!",Disappointed. The logo on the shirt is way smaller ...
1,"Not polyester material, does not look the same as in the picture, it is cut very different, I am only using it in a part of a costume I am making, but not what I was expecting, not as described or as pictured",Its okay
1,Received the item with the packaging half open and scratches all over the keychain. Definitely not worth the $8 since I'd clearly a knockoff.,Scratches
1,"This item arrived in very used condition. It doesnt seem like it will hold up, but for all I know it has been to Afghanistan and back.",Seems Flimsy
1,Horrible fit.  Pants are sheer.  Just not a well made product and sizing is all wrong.,"Skip this one, there is better"
1,"The watch says ""WATER RESISTANT"" on the back, so naturally when I got the watch wet I thought it would be okay. WRONG. the watch stopped working altogether. Don't get this product if you are a normal person who occasionally gets caught in the rain.",Not Worth It
1,"SUPER small. I ordered a large/extra large, they didn't fit me but the fit my daughter who is normally a size small. They were nice pants though, very soft and comfy on the inside. I wish they would have fit me.",SUPER small. I ordered a large/extra large
1,Not lime green ! Dark green,One Star
1,To big,One Star
1,It was supposed to be a boys shirt but it looked girlie and was too small.,Not what I wanted
1,Cute but broke in 3 different places after wearing for an hour :(,One Star
1,XXL runs small and the flower did not even come on the back.,One Star
1,Throw it out after first wash.,You get what you pay for 
1,"I bought this watch and set the time, but it stopped ticking for two hours.",One Star
1,Small,One Star
1,"Not AT ALL what is pictured.  Is Florescent yellow (think highlighter) and olive green.  Army olive green...  AND the black patch thing was sewn all wonky.  Had ALOT of things purchased to match it for Halloween and had to spend a lot of extra money to rebuy things that actually matched.

Just post an accurate picture!!! I would have still bought but would have got matching things on the first go.",NOT as pictured!
1,"The care label indicated that the article should be washed in cold water, inside out before wearing.  Did that.  The white snowman was turned into a pink snowman.  Very disappointed.",Very disappointed.
1,They are super cheap and not soft at all,They are super cheap and not soft at all
1,"Do not buy this. It is not worth the price. The hooks absolutely suck, the board isn't long enough for most necklaces, and within one day of use the back support came off entirely and I had to glue it back together. I ended up ripping all of the hooks out to just use it as a flat display pad. Super obnoxious. Wish I would've just returned it.",Nope.
1,To big,Fits big
1,"I am very unhappy with this purchase and will seek a refund.  I bought these earrings because they have a screw back and I'm tired of losing stud earrings when the back falls off.  However, the picture is very deceiving, and the screw part is microscopic and I could not manage to pick it up.  I am a normal woman, with normal hands. After several efforts to pick up the screw back, it flew out of my hands onto the floor.  It's so small that I couldn't see it on the floor (in broad daylight).  I tried sweeping the floor immediately to see if I could see the shiny object in the dust pan, but no luck.  So these earrings didn't even make it to a first wearing.",What a rip !!!!
1,It does not look anything like picture. The shoulders do not hang off.,shoulders do not hang off !!!!!!
1,Love the heart. The style did not like the screw in back part my daughter could barely get it thought her ear.,Love the heart
1,Ugly!!!! Not original!!!!!,Horrible Pandora charms
1,Didn't look like adult wear look so ugly,One Star
1,"if you like 'uni-boob' this is the bra for you. the seams are very uncomfortable and if you are breastfeeding, comfort is key. this is stiff and matronly",if you like 'uni-boob' this is the bra for you
1,I paid for new shoes and these were used and had a black mark on them. False advertising,False advertising
1,Very disappointed the shirt was way too small would like to return it.,One Star
1,"Not a good fit for a Pandora bracelet. Charm is dark in color, super bulky, and heavy. If you're looking to place it with other CharmStory charms, I'm sure it will look lovely",Not for pandora
1,XL shrunk too small and poor quality material.,One Star
1,I just don't care for them.,One Star
1,"These are NOT quality Nicole Miller products. Yes these are significantly cheaper than their market price, but I have never seen these bags actually sold for full price so...... if its a factory second, just say that.  I have the four piece spinner luggage set in this style and color so I can easily tell the difference.
Two pockets on this product are not lined properly with the blue leopard print fabric. The piping around the edges is PVC instead of the matching faux leather it is supposed to be. The bag itself is poorly sewn and appears puckered. Im not happy.
The box it arrived in contained another box that appeared to have been opened and then taped shut at least once before. I assume someone returned this item.",Knockoff OR factory seconds
1,ALL 1 STAR SENT BACK,One Star
1,The material is not very stretchy therefore it is not very baby friendly. Would only allow a few wears.,Non stretch material
1,Terrible quality and too small. Came unwrapped and the wig was tangled and  knappy.,BAD!
1,Dislike.  Two of the 4 buttons are basically falling off when the package arrived.,Dislike. Two of the 4 buttons are basically falling ...
1,"Cheaply made shoes. I was looking for the jelly slippers from the 1980s, but these are of much lower quality.",disappointed
1,Extremely cheap shirt and image.,One Star
1,I bought this for a trip to Las Vegas and the first day the zipper broke then the button fell off. Horrible product and to think I bought one for my daughter,Horrible
1,Arrived broken.,One Star
1,Didn't fit,One Star
1,"Broken on delivery
The stem was broken off from the shells.
If they had been intact, they probably would have been pretty nice.",Broken on delivery
1,Terrible. Don't order.,One Star
1,"item is cheaply  made and sleeves are way too long as well as length and lapels FOLDOVER - not cut correctly
had to be returned- arrived with mis matched buttons - fabric pulls not worth the money!",item is cheaply made and sleeves are way too long ...
1,"I do like the design and size of charm, but to me it isn't ""Sterling Silver"" like they say. Just a silver charm.",I do like the design and size of charm
1,I agree with the previous post. The XXL fits like a size 8. I'm very disappointed.,The XXL fits like a size 8
1,"I know I did not order a small as I recall thinking, ""Hmmm, I'm a large in these? I wouldve guessed medium."" However, my order says small and the small arrived. I just gave them away. They also took a month to get here from China. Plenty of other options out there.",One month to arrive and wrong size.
1,They couldn't even manage to get it to me. They can thank sticking with USPS for their one star.,USPS
1,Much tinier and non-exciting than it appears in the picture.,One Star
1,It looked like a nice purse. BUT - I used this purse for 4 months last year. Now that it's fall I started using it again for less than 2 weeks and the strap broke off. I won't be buying Anne Klein purses again.,It looked like a nice purse
1,You get what u paid for,Regret it
1,"I have ordered these jeans in the past and they fit perfectly. These, however, are a different fabric content and made in a different country. The jeans made in Jordon fit the best. Sri Lanka and Egypt are too short waisted. Gloria, what the heck are you doing manufacturing in 3 different countries?",Different fabric content
1,The seams were not sewn well.  Not nearly as attractive as what it looks like online.,Not nearly as attractive as what it looks like online.
1,very cheaply made shirt ended up buying a different one for my event from walmart that fit way better.,... one for my event from walmart that fit way better.
1,"The product is a fake, it is not original, it is a bad copy, it is not cotton like the original it is just a cheap poliester sublimated,","it is a bad copy, it is not cotton like the original ..."
1,Manufacturer changed design and  now side straps are one inch farther back & no longer at the arch.  This makes strap come over ankle & they are extremely uncomfortable & un-wearable for me.  I have been wearing them for 8 years.,Manufacturer changed design and now side straps are one inch ...
1,Horrible fabric.,One Star
1,Poor poor quality!  The embellishments are hot glues in haphazardly and there's a lot of glue showing.  This would've been  flattering had it not looked as if someone intoxicated but the copper neckline embellishments.  It also took over a month to arrive.,poorly made
1,"very thin, like a windbreaker.  Not worth the price.  NorthFace should be ashamed to charge that much for this item.",like a windbreaker
1,These pajamas barely fit a medium size woman no way would they fit an average size man.  Very disappointed.,Very disappointed.
1,Too loose,One Star
1,Either my feet are weaker or the GT-1000 has less IN it:  should have spent the extra $18 to get GT-2000.  Next time!,Either my feet are weaker or the GT-1000 has less ...
1,Wasnt too pleased with them. They didn't look classy too bad I didn't returned within the time frame.,One Star
1,"The quality of this is fine but it's WAY too big to be ""one size fits all."" The photos on the model don't accurately show the size in any way. After my husband got done prancing around wearing it to make a point about how big it is (he said it was HIS size) we took a tape measure and measured from the left seem to the right seem at chest level and it measures three feet across! I don't know how they made it look so cute on the model... It looks ridiculous in real life!",WAY too big!!
1,"The shoes definitely run very small.  The package arrived with only ONE shoe.  It is not the ""Air Balance"" brand it claims to be in the listing but some random ""sports"" generic brand.  Initiated return process and bought shows elsewhere.",Not as described
1,Hat too small. Very disappointed,Very disappointed
1,Does not shape your body what's so ever does not look like the image at all different material like a swim suit and if your tall doesn't even fit the length,Baddd
1,"Honestly, this is the worst product I have ever bought in Amazon, the place where the buttons stay is out of the center line of the shirt, it's much more on the left side. Horrible quality of the product. I will not send it back because I'm in another country and the cost involved in this would be higher than if I buy another one in another place.","Horrible quality, I recommend to avoid buying it."
1,"I recently started bee keeping and thought this would be a fun piece to wear to my class. I have to say I was surprised by the quality and needed to return it.  My teenage daughter makes jewelry and the chain, ""pearl"" and amber ""stone"" were of a lower quality than she would use in her creations. It is unclear to me the target market for this. The theme read adult to me and the quality read child. Sorry. I know someone made this and loves it. It just wasn't a good fit for me.
Pros: photographs well
Cons: quality",Quality too low for many adult consumers -- IMHO
1,color is different then what shown in the picture,One Star
1,"This arrived an hour ago. I took it out of its plastic wrap and there was a rip on the side, rendering this useless as an organizer. Another reviewer reported the same thing but I took a chance on it. I should have listened. It's going back. Where is quality control on these items???",rendering this useless as an organizer
1,Look cheap and plastic. Thought they would look more quality!,One Star
1,"too small , not XL but S,
every time I order in China , I' ve problem.
Clothes arrive too small.
last time for me.
Regards",shirt too small
1,"Purchased this product for my husband for Christmas. The product fit as he wears an XL in tshirts. Once we washed the product and dried it now looks like it would fit a 5 year old. I do understand that product that are cotton tend to shirk but not as terrible as this shirt did. I contacted the seller to see if we could exchange or return

This is what they responded with
We are sorry to hear that. Unfortunately once you wash an item it voids any warranty or return policy. We have not had this issue with the items purchased and wonder if the washing instructions were not followed on the shirt. These shirts are made of cotton and should not be washed or dried with medium or high heat. The email you have provided has been removed by amazon. We apologize for any inconvenience.

We have a ton of harley shirts and this one is the only one that has EVER turned into a 5 year olds tshirt. Very upset giving Harley Davidson clothing is not cheap by any means. So please if your thinking of purchasing a tshirt from this company make sure you don't wash/dry it.

Unhappy customer.",5 year olds tshirt
1,Wrong design for my foot.,Wrong design
1,These look great but the size is so off its ridiculous!  I didn't know the return policy yet so I'm stuck with new shoes that say 7.5 but do not fit at all. TOO SMALL HEEL HANGS OFF!,These look great but the size is so off its ridiculous
1,dont buy,One Star
1,Didn't have it long and the chain faded on it,Looks good but not a good quality
1,The coat was a piece of junk-very flimsy and way too small for a large. What I am waiting for is my money. It was returned Nov. 11th all the way back to china --- major postage. and now I want my money which was a gift.!!!!,no good
1,Receive the wrong item with a wrong size,One Star
1,"One side fit perfectly well and the other kept coming off. Often making me look like a pirate !
Lense is originally brown shaded and only the tint is as advertised. The view through the glass stimulates an LSD experience.
One word that aptly describes this product: S-*-*-*",Often making me look like a pirate
1,Not a good quality...neck too big,Dont buy
1,You know those funny memes people post of the model and then the ridiculous online dress that is nothing as advertised? This it that. WASTE!,DO NOT BUY
1,Broken on second wear.  Nice looking but super cheap!.  My husband went to take off and one of the lenses stayed behind on his eye. Don't buy. Waste of money.,Nice looking but super cheap
1,"Bought these at the end of last season, used them for the first time today. Although the grip was great, shoes are falling apart after 3 miles. Couldnt believe it! Will try and contact the seller....",Falling apart after 3 miles!
1,"I did not care for them I had give them to a 10 yr old because they was so small.
I paid for shoes and was very disappointed
I would have given 0 stars but it makes you put 1",Not What You Pay For
1,too small,One Star
1,Runs small,One Star
1,Broke soon as I got it cheap,One Star
1,"I ordered these in early December for Christmas and got them in January, very slow in shipping.  Also these mittens are not wearable, the material is sour smelling and being wool the smell will never be able to be removed.",Not a good quality product
1,Very small,Very small
1,huge -,One Star
1,Broke really easily,One Star
1,No comment,No Comment
1,"So disappointed! I bought this for Christmas photos and the shirt was so short, it would be a crop top even if I wasn't pregnant! Total waste of money.",Too short
1,"beware of wrong description - necklace not white grey purple, its actually white grey and orange (Pumpkin orange).",WRONG COLORS AS POSTED
1,Couldn't even open it!  Worst purchase ever.,Not this!
1,,One Star
1,"This must be a joke..... I received a belt that looks like it was previously worn. Its the wrong color, the buckle finish is a cheap black finish that's chipped and worn off. The buckle I ordered was supposed to have had a brass finish and the belt was supposed to be a light tan. I've been ordering stuff from Amazon for 15 years and this is hands down the biggest piece of crap I've ever received........","Junk belt, previously worn"
1,"Somebody messed up at the factory at Liquid Blue.  I always wear XXL, and they sent me a shirt marked XXL.  But it is more like a medium, I can't even get it on.  I'm really disappointed in Liquid Blue as this is the second defective shirt from them this week.  I would have loved this if it fit.",Sizing Defect
1,Terrible fit.,Size is simply WRONG
1,"I ordered color DRA7E01Q, now correct me if I'm wrong but it would seem this is sort of a seafoam green blue color when it arrived today I was shocked that it was not the color pictured but a baby blue very upset.",Upset
1,This doesnt look official at all and the F and the I is faded out and hard to see. I am very dissatisfied with my purchase.,Picture is misleading
1,Didn't have Darth Vader on the inside and the seller offered just 5 bucks and told me to keep it even though I paid 16 and wearing the shirt without darth Vader on the inside wouldnt make sense.,Annoyed
1,"Very cheap, wrinkled, thin fabric. Returned.",One Star
1,I ordered a small that I could not even get into from another retailer.  I then ordered a medium form this retailer and still does not fit. I am a size 8.  Really Oakley?,I ordered a small that I could not even get ...
1,"The quality of this product is ridiculously poor. I should have known based on the price, but I thought I would give it a try. Shipping took forever and the large middle rhinestone had fallen off en route and was at the bottom of the packaging when I opened it. It was also missing a smaller rhinestone from the netting part. Additionally, the longer whispy feathers do not stay in place or stand up straight when it is in your hair. Unlike what is represented in the photos they droop down limply next to your head. If I were really determined to wear it I might consider using hairspray to hold them upright, but I've already tossed the whole thing in the trash.",The quality of this product is ridiculously poor. I should have known based on the price
1,does not fit average woman side only petite women,Way too small
1,The clip came off during the first day of use.,"Nice, but not durable"
1,There were ugly and itchy,One Star
1,"My daughter loved the umbrella , especially the color. However the umbrella broke the 2 nd time she used it. The umbrella came unattached from one of the points.",My daughter loved the umbrella
1,I wanted these for slippers in my house when it's cold but I don't want my feet burning up...the fuzz constantly comes off and is stuck in between my toes...wouldn't recommend these.,wouldn't recommend these.
